symbol,year,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
GBPJPY,2025,24,49,0.5306122448979592,0.4489795918367347,0.02040816326530612,-0.03195036561875855,0.018728150491094435,0.47998654535816876,-0.3548095285958332,0.018728150491094435,0.27657093861590354,0.5306122448979592,0.4489795918367347,0.5306122448979592,-0.465955892918663,0.39380627019919845,0.6629671810210522,UNVERIFIED_PYTHON_APPROXIMATION,usable
GBPJPY,2025,168,49,0.5306122448979592,0.46938775510204084,0.0,0.17234145703909792,0.2693087567261599,1.291273321775743,-0.6923717284928247,0.2693087567261599,1.0186459767238125,0.5306122448979592,0.46938775510204084,0.5306122448979592,0.934264015936357,0.39380627019919845,0.6629671810210522,UNVERIFIED_PYTHON_APPROXIMATION,usable
GBPJPY,2025,336,49,0.673469387755102,0.32653061224489793,0.0,0.4674424383145706,0.7225522960762525,1.2266541673864106,-0.2173989446360665,0.7225522960762525,1.529220372919538,0.673469387755102,0.32653061224489793,0.673469387755102,2.6674976168496927,0.5337894368740628,0.7879267867073578,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,2022,24,38,0.6052631578947368,0.39473684210526316,0.0,0.31022151571080275,0.8044599129444504,2.640317923704805,-1.6585856199129894,0.8044599129444504,1.8431953205391167,0.6052631578947368,0.39473684210526316,0.6052631578947368,0.7242816625607761,0.4471758699869596,0.7440214073638108,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,2022,168,38,0.5,0.5,0.0,-0.28757762608384696,-0.27444243365547594,6.2801850799274295,-4.502881915694873,-0.27444243365547594,3.6578410268563184,0.5,0.5,0.5,-0.282276321893419,0.3484967553286069,0.6515032446713931,UNVERIFIED_PYTHON_APPROXIMATION,borderline
LIGHTCMDUSD,2022,336,38,0.5789473684210527,0.42105263157894735,0.0,-0.40431682028611027,1.1175803828847086,7.6096839193242,-6.578890812540806,1.1175803828847086,4.552890965062264,0.5789473684210527,0.42105263157894735,0.5789473684210527,-0.3275269111084093,0.42192070613127325,0.7214772518818047,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,2023,24,57,0.5087719298245614,0.49122807017543857,0.0,-0.19372426689817668,0.17032873445751331,1.8671209301696738,-1.768402041814556,0.17032873445751331,0.9508634202583154,0.5087719298245614,0.49122807017543857,0.5087719298245614,-0.7833376604280923,0.38259680329032353,0.6338393193625982,UNVERIFIED_PYTHON_APPROXIMATION,borderline
LIGHTCMDUSD,2023,168,57,0.543859649122807,0.45614035087719296,0.0,-0.15307043224389325,0.24295432458697722,5.041167508789401,-3.186817457541481,0.24295432458697722,3.8671231139850506,0.543859649122807,0.45614035087719296,0.543859649122807,-0.22924380480549547,0.41590460831272247,0.6662760049518861,UNVERIFIED_PYTHON_APPROXIMATION,usable
LIGHTCMDUSD,2023,336,57,0.45614035087719296,0.543859649122807,0.0,-0.4500339304705143,-0.8328469993191352,6.753661345341478,-4.354957952130112,-0.8328469993191352,2.8989622898252296,0.45614035087719296,0.543859649122807,0.45614035087719296,-0.5030873612947997,0.33372399504811395,0.5840953916872775,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
LIGHTCMDUSD,2024,24,52,0.40384615384615385,0.5961538461538461,0.0,-0.40161266816524976,-0.7512970414362397,1.8904345416340096,-1.7661085845659084,-0.7512970414362397,1.0583122932877402,0.40384615384615385,0.5961538461538461,0.40384615384615385,-1.5319600187733486,0.2815953542428228,0.5393266823750391,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
LIGHTCMDUSD,2024,168,52,0.6153846153846154,0.38461538461538464,0.0,0.4885953497195359,0.7628099394478567,3.303498603796088,-2.0696473423834383,0.7628099394478567,2.7024385246462184,0.6153846153846154,0.38461538461538464,0.6153846153846154,1.0665393255155053,0.47959626940741784,0.7352972866511478,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,2024,336,52,0.5576923076923077,0.4423076923076923,0.0,0.09995311822699299,0.7134349566509541,4.025241257367631,-2.823354775370009,0.7134349566509541,2.973634399000785,0.5576923076923077,0.4423076923076923,0.5576923076923077,0.17906310199434733,0.42339524991516386,0.6840515281141191,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
LIGHTCMDUSD,2025,24,55,0.4,0.6,0.0,-0.2549908700587215,-0.34008225245175344,1.785051507853784,-1.0266363908839924,-0.34008225245175344,0.8883844135576165,0.4,0.6,0.4,-1.0593884246098724,0.28118303786433585,0.5318743908935498,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
LIGHTCMDUSD,2025,168,55,0.43636363636363634,0.5454545454545454,0.01818181818181818,-0.6006110021680628,-0.5537570284545876,4.67162970307375,-3.1244558580744815,-0.5537570284545876,1.5335376636719236,0.43636363636363634,0.5454545454545454,0.43636363636363634,-0.9534682088952973,0.31373238636001305,0.5673041592131869,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
