symbol,analysis_session_scope,horizon_h,n_signals,win_rate,loss_rate,flat_rate,mean_forward_return_pct,median_forward_return_pct,std_forward_return_pct,p25_forward_return_pct,p50_forward_return_pct,p75_forward_return_pct,pct_positive_return,pct_negative_return,favorable_move_rate,t_stat_mean_return,win_rate_ci95_low,win_rate_ci95_high,truth_label_block,win_rate_band
XAGUSD,london_only,168,32,0.59375,0.40625,0.0,0.9855447200630247,0.9805082361542949,3.872472502547166,-1.6367760055554765,0.9805082361542949,2.96405224010559,0.59375,0.40625,0.59375,1.4396700903844306,0.4225972657298823,0.744805975196862,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,london_only,336,32,0.71875,0.28125,0.0,1.6566981640713565,1.4405659406027416,5.089663592670277,-0.3736373269017442,1.4405659406027416,3.94798109265959,0.71875,0.28125,0.71875,1.8413201342127294,0.546251630618882,0.8443559315435214,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,london_or_newyork,24,46,0.5652173913043478,0.43478260869565216,0.0,0.37630679887263974,0.22972522367238213,1.4225145337919063,-0.4410102517336189,0.22972522367238213,1.3322198724323742,0.5652173913043478,0.43478260869565216,0.5652173913043478,1.7941728005017,0.4224718277662822,0.6979095404080942,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,london_or_newyork,168,46,0.6086956521739131,0.391304347826087,0.0,0.9940116647929342,0.9938614439957404,3.5889802280884524,-1.605010615274171,0.9938614439957404,3.0795549997866614,0.6086956521739131,0.391304347826087,0.6086956521739131,1.8784486648710588,0.4645658371764493,0.7360697764475116,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAGUSD,london_or_newyork,336,46,0.6739130434782609,0.32608695652173914,0.0,2.061184268840518,1.4405659406027416,5.708839408404209,-0.9864031266815132,1.4405659406027416,4.7337413805844495,0.6739130434782609,0.32608695652173914,0.6739130434782609,2.448769507638139,0.5296746274432707,0.7913423543550664,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,all_sessions,24,132,0.5151515151515151,0.48484848484848486,0.0,0.08081094724235238,0.08616166978265907,0.8114374937154772,-0.35044742382395055,0.08616166978265907,0.539993433126293,0.5151515151515151,0.48484848484848486,0.5151515151515151,1.1442003914168362,0.4306772655530051,0.5987687951529936,UNVERIFIED_PYTHON_APPROXIMATION,borderline
XAUUSD,all_sessions,168,132,0.553030303030303,0.44696969696969696,0.0,0.4157468733616742,0.3140198339768759,2.11330635551261,-0.9406874211288425,0.3140198339768759,1.5908097530374263,0.553030303030303,0.44696969696969696,0.553030303030303,2.260234492645663,0.4679081278549537,0.6351530846160418,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,all_sessions,336,132,0.553030303030303,0.44696969696969696,0.0,0.7843022819093255,0.2935243644148104,2.7703843829196395,-0.922069724563828,0.2935243644148104,2.456391503995939,0.553030303030303,0.44696969696969696,0.553030303030303,3.252598173761464,0.4679081278549537,0.6351530846160418,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,london_only,24,29,0.6206896551724138,0.3793103448275862,0.0,0.30435756454490115,0.3158394114728975,0.7024418888375984,-0.18798321241840762,0.3158394114728975,0.8985364860841227,0.6206896551724138,0.3793103448275862,0.6206896551724138,2.333311369122099,0.4400222620928496,0.7731220426913266,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,london_only,168,29,0.5517241379310345,0.4482758620689655,0.0,0.5578556210945099,0.3123729330441782,2.4873988756392946,-1.045748084537989,0.3123729330441782,1.393240645994779,0.5517241379310345,0.4482758620689655,0.5517241379310345,1.2077453630786137,0.37547667068067625,0.715870888512542,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,london_only,336,29,0.4827586206896552,0.5172413793103449,0.0,0.43679784462668914,-0.0037819484598526276,2.548360591403763,-1.0104352625422157,-0.0037819484598526276,2.6553283291748397,0.4827586206896552,0.5172413793103449,0.4827586206896552,0.9230359269604493,0.3138581933079522,0.6556926202943085,UNVERIFIED_PYTHON_APPROXIMATION,no directional edge
XAUUSD,london_or_newyork,24,41,0.6097560975609756,0.3902439024390244,0.0,0.27768212853848534,0.3158394114728975,0.7960624791647133,-0.2113150888705112,0.3158394114728975,0.7909560584148455,0.6097560975609756,0.3902439024390244,0.6097560975609756,2.233534696186612,0.4572658389869257,0.7434406478467288,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,london_or_newyork,168,41,0.5609756097560976,0.43902439024390244,0.0,0.6129010529688022,0.3156667349095736,2.4060236553179175,-0.949806742407042,0.3156667349095736,1.1750681815166162,0.5609756097560976,0.43902439024390244,0.5609756097560976,1.6311068175653882,0.41040265151757305,0.7011009522789017,UNVERIFIED_PYTHON_APPROXIMATION,strong directional edge
XAUUSD,london_or_newyork,336,41,0.5365853658536586,0.4634146341463415,0.0,0.7186270658139957,0.38162060855696484,2.633782861978206,-0.682187424758736,0.38162060855696484,2.6553283291748397,0.5365853658536586,0.4634146341463415,0.5365853658536586,1.7470910184800656,0.38746215345974366,0.6794400088181413,UNVERIFIED_PYTHON_APPROXIMATION,usable
